"Date","Price","Open","High","Low","Vol.","Change %"
"10/09/2020","65.900","75.000","75.000","64.600","651.34K","-2.08%"
"10/08/2020","67.300","62.100","69.200","61.600","465.47K","9.97%"
"10/07/2020","61.200","60.100","62.500","57.400","349.69K","2.68%"
"10/06/2020","59.600","62.100","62.800","58.800","225.24K","-2.93%"
"10/05/2020","61.400","61.000","63.800","60.100","220.25K","0.82%"
"10/02/2020","60.900","60.900","62.600","60.600","152.21K","-2.09%"
"10/01/2020","62.200","62.200","63.600","60.600","218.38K","0.32%"
"09/30/2020","62.000","64.200","67.000","61.400","269.22K","-0.80%"
"09/29/2020","62.500","63.200","68.300","61.000","319.73K","-3.85%"
"09/28/2020","65.000","68.500","68.800","63.500","224.70K","-4.13%"
"09/25/2020","67.800","70.500","70.700","66.050","175.78K","-1.88%"
"09/24/2020","69.100","68.000","71.700","64.200","411.26K","0.14%"
"09/23/2020","69.000","81.000","83.100","68.700","749.69K","-29.09%"
"09/22/2020","97.300","85.800","100.700","83.400","611.76K","15.15%"
"09/21/2020","84.500","84.600","85.100","81.900","192.74K","-1.97%"
"09/18/2020","86.200","90.500","91.100","84.300","305.32K","-4.86%"
"09/17/2020","90.600","92.200","92.600","90.000","109.85K","-2.48%"
"09/16/2020","92.900","92.500","95.800","92.000","182.13K","-0.43%"
"09/15/2020","93.300","95.500","96.800","92.400","119.38K","-1.48%"
"09/14/2020","94.700","91.600","99.300","91.200","220.16K","3.16%"
"09/11/2020","91.800","98.300","98.300","90.800","211.59K","-5.94%"
"09/10/2020","97.600","100.900","103.100","97.600","195.78K","-3.27%"
"09/09/2020","100.900","99.700","105.500","97.700","237.72K","1.71%"
"09/08/2020","99.200","107.000","108.700","99.200","289.39K","-10.79%"
"09/04/2020","111.200","117.500","118.100","108.800","193.06K","-6.00%"
"09/03/2020","118.300","116.000","121.200","115.100","161.44K","0.42%"
"09/02/2020","117.800","121.900","122.600","116.300","163.22K","-3.12%"
"09/01/2020","121.600","126.500","126.800","121.200","175.22K","-5.59%"
"08/31/2020","128.800","128.500","129.600","122.900","183.31K","0.08%"
"08/28/2020","128.700","124.400","132.400","123.700","140.22K","3.46%"
"08/27/2020","124.400","122.100","126.600","122.100","100.31K","1.06%"
